公司代码,公司简称,公司全称,英文名称,注册地址,A股代码,A股简称
002431,棕榈园林,棕榈园林股份有限公司,"PALM LANDSCAPE ARCHITECTURE CO., LTD.",广东省中山市小榄镇新华中路120号向明大厦11C,2431,棕榈园林
002432,九安医疗,天津九安医疗电子股份有限公司,"Andon Health Co.,Ltd.",天津市南开区雅安道金平路3号,2432,九安医疗
002433,太安堂,广东太安堂药业股份有限公司,"Guangdong Taiantang Pharmaceutical Co., Ltd",广东省汕头市金园工业区11R2-2片区第1、2座,2433,太安堂
002434,万里扬,浙江万里扬变速器股份有限公司,"ZHEJIANG WANLIYANG TRANSMISSION CO,. LTD.",浙江省金华市宾虹西路3999号,2434,万里扬
002435,长江润发,长江润发机械股份有限公司,"CHANG JIANG RUNFA MACHINERY CO.,LTD.",江苏省张家港市金港镇镇山东路,2435,长江润发
002436,兴森科技,深圳市兴森快捷电路科技股份有限公司,"SHENZHEN FASTPRINT CIRCUIT TECH CO.,LTD.",广东省深圳市南山区深南路科技园工业厂房25栋1段3层,2436,兴森科技
002437,誉衡药业,哈尔滨誉衡药业股份有限公司,"Harbin Gloria Pharmaceuticals Co., Ltd.",黑龙江省哈尔滨市利民经济技术开发区燕京路29号,2437,誉衡药业
002438,江苏神通,江苏神通阀门股份有限公司,"Jiangsu Shentong Valve Co., Ltd",江苏省启东市南阳镇,2438,江苏神通
002439,启明星辰,北京启明星辰信息技术股份有限公司,Beijing Venustech Inc.,北京市海淀区东北旺西路8号中关村软件园21号楼启明星辰大厦一层,2439,启明星辰
002440,闰土股份,浙江闰土股份有限公司,"Zhejiang Runtu Co.,LTD.",浙江省上虞市道墟镇称山下,2440,闰土股份
002441,众业达,众业达电气股份有限公司,"Zhongyeda Electric Co.,Ltd",广东省汕头市衡山路62号,2441,众业达
002442,龙星化工,龙星化工股份有限公司,"LONGXING CHEMICAL INDUSTRY CO., LTD.",河北省沙河市东环路龙星街1号,2442,龙星化工
002443,金洲管道,浙江金洲管道科技股份有限公司,"ZHEJIANG KINGLAND PIPELINE AND TECHNOLOGIES Co., Ltd.",浙江省湖州市东门十五里牌（318国道旁）,2443,金洲管道
002444,巨星科技,杭州巨星科技股份有限公司,"HANG ZHOU GREAT STAR INDUSTRIAL CO., LTD.",浙江省杭州市江干区九环路35号,2444,巨星科技
002445,中南重工,江阴中南重工股份有限公司,"Jiangyin Zhongnan Heavy Industries Co., Ltd.",江苏省江阴市高新技术产业开发园金山路788号,2445,中南重工
002446,盛路通信,广东盛路通信科技股份有限公司,"Guangdong Shenglu Telecommunication Tech. Co., Ltd.",广东省佛山市三水区西南工业园进业二路四号,2446,盛路通信
002447,壹桥苗业,大连壹桥海洋苗业股份有限公司,"DALIAN YI QIAO MARINE SEEDS CO.,LTD",辽宁省大连瓦房店市谢屯镇沙山村,2447,壹桥苗业
002448,中原内配,河南省中原内配股份有限公司,ZYNP Corporation.,河南省孟州市产业集聚区,2448,中原内配
002449,国星光电,佛山市国星光电股份有限公司,"Foshan NationStar Optoelectronics Co., Ltd",广东省佛山市禅城区华宝南路18号,2449,国星光电
002450,康得新,北京康得新复合材料股份有限公司,"Beijing Kangde Xin Composite Material Co.,Ltd.",江苏省张家港市环保新材料产业园晨港路北侧、港华路西侧,2450,康得新
002451,摩恩电气,上海摩恩电气股份有限公司,"SHANGHAI MORN ELECTRIC EQUIPMENT CO.,LTD",上海市浦东新区龙东大道5901号,2451,摩恩电气
002452,长高集团,湖南长高高压开关集团股份公司,"HunanChanggaoHighVoltageSwitchgerGroupCo., LTD.",湖南省高科技食品工业基地金星大道西侧,2452,长高集团
002453,天马精化,苏州天马精细化学品股份有限公司,"Suzhou Tianma Specialty Chemicals Co., Ltd.",江苏省苏州高新区浒青路122号,2453,天马精化
002454,松芝股份,上海加冷松芝汽车空调股份有限公司,"SHANGHAI JIALENG SONGZHI AUTOMOBILE AIRCONDITION CO.,LTD.",上海市莘庄工业区华宁路4999号,2454,松芝股份
002455,百川股份,无锡百川化工股份有限公司,"Wuxi Baichuan Chemical Industry Co., Ltd",江苏省江阴市云亭街道建设路55号,2455,百川股份
002456,欧菲光,深圳欧菲光科技股份有限公司,"Shenzhen O-film Tech Co.,Ltd.",广东省深圳市光明新区公明街道松白公路华发路段欧菲光科技园,2456,欧菲光
002457,青龙管业,宁夏青龙管业股份有限公司,"Ningxia Qinglong Pipes Industry Co.,LTD.",宁夏回族自治区青铜峡市河西,2457,青龙管业
002458,益生股份,山东益生种畜禽股份有限公司,"SHAN DONG YISHENG LIVESTOCK&POULTRY BREEDING CO.,LTD.",山东省烟台市芝罘区朝阳街80号,2458,益生股份
002459,*ST天业,秦皇岛天业通联重工股份有限公司,"Qinhuangdao Tianye Tolian Heavy Industry Co., Ltd.",河北省秦皇岛市经济技术开发区天山北路3号,2459,*ST天业
002460,赣锋锂业,江西赣锋锂业股份有限公司,"GANFENG LITHIUM CO.,LTD.",江西省新余市经济开发区龙腾路,2460,赣锋锂业
002461,珠江啤酒,广州珠江啤酒股份有限公司,"GUANGZHOU ZHUJIANG BREWERY CO.,LTD",广东省广州市海珠区新港东路磨碟沙大街118号,2461,珠江啤酒
002462,嘉事堂,嘉事堂药业股份有限公司,"Cachet Pharmaceutical Co., Ltd.",北京市海淀区昆明湖南路11号1号楼,2462,嘉事堂
002463,沪电股份,沪士电子股份有限公司,"WUS PRINTED CIRCUIT (KUNSHAN) CO.,LTD",江苏省昆山市黑龙江北路55号,2463,沪电股份
002464,金利科技,昆山金利表面材料应用科技股份有限公司,"KEE EVER BRIGHT DECORATIVE TECHNOLOGY CO., LTD.",江苏省昆山市经济技术开发区昆嘉路1098号,2464,金利科技
002465,海格通信,广州海格通信集团股份有限公司,GUANGZHOU HAIGE COMMUNICATIONS GROUP INCORPORATED COMPANY,广东省广州市高新技术产业开发区科学城海云路88号,2465,海格通信
002466,天齐锂业,四川天齐锂业股份有限公司,"Sichuan Tianqi Lithium Industries, Inc.",四川省射洪县太和镇城北太空村,2466,天齐锂业
002467,二六三,二六三网络通信股份有限公司,Net263 Ltd.,北京市昌平区城区镇超前路13号,2467,二六三
002468,艾迪西,浙江艾迪西流体控制股份有限公司,"Zhejiang IDC Fluid Control Co.,Ltd.",浙江省玉环县机电工业园区,2468,艾迪西
